customer_id,customer_name,segment,country,region,state,city,postal_code
AH-10210,Alan Hwang,Consumer,United States,West,California,Brentwood,94513.0
AH-10465,Amy Hunt,Consumer,United States,East,New York,New York City,10035.0
AH-10585,Angele Hood,Consumer,United States,Central,Illinois,Chicago,60623.0
AH-10690,Anna Häberlin,Corporate,United States,East,New York,New York City,10024.0
AI-10855,Arianne Irving,Consumer,United States,East,Pennsylvania,Philadelphia,19120.0
AJ-10780,Anthony Jacobs,Corporate,United States,South,Virginia,Springfield,22153.0
AJ-10795,Anthony Johnson,Corporate,United States,South,Florida,Saint Petersburg,33710.0
AJ-10945,Ashley Jarboe,Consumer,United States,South,North Carolina,Wilmington,28403.0
AJ-10960,Astrea Jones,Consumer,United States,East,New York,Rochester,14609.0
AM-10360,Alice McCarthy,Corporate,United States,Central,Texas,Grand Prairie,75051.0
AM-10705,Anne McFarland,Consumer,United States,South,Alabama,Auburn,36830.0
AO-10810,Anthony O'Donnell,Corporate,United States,West,California,Los Angeles,90045.0
AP-10720,Anne Pryor,Home Office,United States,East,New York,New York City,10035.0
AP-10915,Arthur Prichep,Consumer,United States,South,Florida,Palm Coast,32137.0
AR-10345,Alex Russell,Corporate,United States,East,Massachusetts,Lawrence,1841.0
AR-10405,Allen Rosenblatt,Corporate,United States,East,Massachusetts,Franklin,2038.0
AR-10510,Andrew Roberts,Consumer,United States,East,Pennsylvania,Philadelphia,19134.0
AR-10540,Andy Reiter,Consumer,United States,East,New York,New York City,10024.0
AR-10570,Anemone Ratner,Consumer,United States,South,Georgia,Columbus,31907.0
AR-10825,Anthony Rawles,Corporate,United States,West,Washington,Vancouver,98661.0
AS-10045,Aaron Smayling,Corporate,United States,South,North Carolina,Jacksonville,28540.0
AS-10090,Adam Shillingsburg,Consumer,United States,South,Virginia,Charlottesville,22901.0
AS-10135,Adrian Shami,Home Office,United States,East,New York,New York City,10035.0
AS-10225,Alan Schoenberger,Corporate,United States,East,New York,New York City,10024.0
AS-10240,Alan Shonely,Consumer,United States,South,Florida,Tampa,33614.0
AS-10285,Alejandro Savely,Corporate,United States,West,California,San Francisco,94109.0
AS-10630,Ann Steele,Home Office,United States,Central,Texas,Pasadena,77506.0
AT-10435,Alyssa Tate,Home Office,United States,West,California,Los Angeles,90004.0
AT-10735,Annie Thurman,Consumer,United States,West,Washington,Seattle,98115.0
AW-10840,Anthony Witt,Consumer,United States,Central,Texas,Allen,75002.0
AW-10930,Arthur Wiediger,Home Office,United States,Central,Illinois,Aurora,60505.0
AY-10555,Andy Yotov,Corporate,United States,West,California,Oceanside,92054.0
AZ-10750,Annie Zypern,Consumer,United States,East,New York,New York City,10009.0
BB-10990,Barry Blumstein,Corporate,United States,West,California,Inglewood,90301.0
BB-11545,Brenda Bowman,Corporate,United States,Central,Texas,Houston,77070.0
BC-11125,Becky Castell,Home Office,United States,West,Arizona,Peoria,85345.0
BD-11320,Bill Donatelli,Consumer,United States,West,California,San Francisco,94110.0
BD-11500,Bradley Drucker,Consumer,United States,Central,Wisconsin,Green Bay,54302.0
BD-11560,Brendan Dodson,Home Office,United States,West,California,Fresno,93727.0
BD-11605,Brian Dahlen,Consumer,United States,East,Massachusetts,Lawrence,1841.0
BD-11620,Brian DeCherney,Consumer,United States,West,California,San Francisco,94122.0
BD-11635,Brian Derr,Consumer,United States,South,Kentucky,Bowling Green,42104.0
BD-11725,Bruce Degenhardt,Consumer,United States,South,Kentucky,Richmond,40475.0
BD-11770,Bryan Davis,Consumer,United States,Central,Texas,Houston,77070.0
BE-11335,Bill Eplett,Home Office,United States,Central,Michigan,Jackson,49201.0
BE-11410,Bobby Elias,Consumer,United States,East,Ohio,Lancaster,43130.0
BE-11455,Brad Eason,Home Office,United States,Central,Kansas,Olathe,66062.0
BF-10975,Barbara Fisher,Corporate,United States,South,North Carolina,Charlotte,28205.0
BF-11005,Barry Franz,Home Office,United States,West,California,Pasadena,91104.0
BF-11020,Barry Französisch,Corporate,United States,Central,Wisconsin,Green Bay,54302.0
BF-11080,Bart Folk,Consumer,United States,East,Maryland,Baltimore,21215.0
BF-11170,Ben Ferrer,Home Office,United States,West,California,Los Angeles,90036.0
BF-11215,Benjamin Farhat,Home Office,United States,West,New Mexico,Albuquerque,87105.0
BF-11275,Beth Fritzler,Corporate,United States,West,Arizona,Tucson,85705.0
BG-11035,Barry Gonzalez,Consumer,United States,South,Louisiana,Monroe,71203.0
BG-11695,Brooke Gillingham,Corporate,United States,East,Ohio,Cincinnati,45231.0
BG-11740,Bruce Geld,Consumer,United States,East,Pennsylvania,Philadelphia,19120.0
BH-11710,Brosina Hoffman,Consumer,United States,West,California,Los Angeles,90032.0
BK-11260,Berenike Kampe,Consumer,United States,East,New York,New York City,10035.0
BM-11140,Becky Martin,Consumer,United States,Central,Texas,San Antonio,78207.0
BM-11575,Brendan Murry,Corporate,United States,East,New York,New York City,10035.0
BM-11650,Brian Moss,Corporate,United States,East,New York,New York City,10035.0
BM-11785,Bryan Mills,Consumer,United States,East,Ohio,Columbus,43229.0
BN-11470,Brad Norvell,Corporate,United States,South,North Carolina,Cary,27511.0
BN-11515,Bradley Nguyen,Consumer,United States,West,California,Los Angeles,90049.0
BO-11350,Bill Overfelt,Corporate,United States,West,California,Los Angeles,90045.0
BO-11425,Bobby Odegard,Consumer,United States,South,Kentucky,Richmond,40475.0
BP-11050,Barry Pond,Corporate,United States,East,Rhode Island,Cranston,2920.0
BP-11095,Bart Pistole,Corporate,United States,Central,Illinois,Peoria,61604.0
BP-11155,Becky Pak,Consumer,United States,South,Georgia,Columbus,31907.0
BP-11185,Ben Peterman,Corporate,United States,West,Colorado,Arvada,80004.0
BP-11230,Benjamin Patterson,Consumer,United States,West,Washington,Spokane,99207.0
BP-11290,Beth Paige,Consumer,United States,Central,Illinois,Evanston,60201.0
BS-11365,Bill Shonely,Corporate,United States,East,New York,New York City,10011.0
BS-11380,Bill Stewart,Corporate,United States,Central,Illinois,Skokie,60076.0
BS-11590,Brendan Sweed,Corporate,United States,West,Arizona,Gilbert,85234.0
BS-11665,Brian Stugart,Consumer,United States,East,Pennsylvania,Philadelphia,19143.0
BS-11755,Bruce Stewart,Consumer,United States,West,Colorado,Denver,80219.0
BS-11800,Bryan Spruell,Home Office,United States,East,New York,New York City,10011.0
BT-11305,Beth Thompson,Home Office,United States,West,California,Costa Mesa,92627.0
BT-11395,Bill Tyler,Corporate,United States,Central,Michigan,Detroit,48227.0
BT-11440,Bobby Trafton,Consumer,United States,West,Colorado,Littleton,80122.0
BT-11485,Brad Thomas,Home Office,United States,East,Maryland,Clinton,20735.0
BT-11530,Bradley Talbott,Home Office,United States,West,California,Los Angeles,90036.0
BT-11680,Brian Thompson,Consumer,United States,East,Ohio,Newark,43055.0
BV-11245,Benjamin Venier,Corporate,United States,Central,Iowa,Des Moines,50315.0
BW-11065,Barry Weirich,Consumer,United States,South,North Carolina,Raleigh,27604.0
BW-11110,Bart Watters,Corporate,United States,Central,Wisconsin,Milwaukee,53209.0
BW-11200,Ben Wallace,Consumer,United States,South,Florida,Boynton Beach,33437.0
CA-11965,Carol Adams,Corporate,United States,South,Alabama,Hoover,35244.0
CA-12055,Cathy Armstrong,Home Office,United States,Central,Texas,Houston,77070.0
CA-12265,Christina Anderson,Consumer,United States,Central,Illinois,Chicago,60610.0
CA-12310,Christine Abelman,Corporate,United States,East,Ohio,Cincinnati,45231.0
CA-12775,Cynthia Arntzen,Consumer,United States,South,Florida,Tampa,33614.0
CB-12025,Cassandra Brandow,Consumer,United States,East,Ohio,Hamilton,45011.0
CB-12415,Christy Brittain,Consumer,United States,East,Ohio,Columbus,43229.0
CB-12535,Claudia Bergmann,Corporate,United States,South,North Carolina,Chapel Hill,27514.0
CC-12100,Chad Cunningham,Home Office,United States,Central,Indiana,Columbus,47201.0
CC-12145,Charles Crestani,Consumer,United States,West,California,Los Angeles,90004.0
CC-12220,Chris Cortes,Consumer,United States,Central,Indiana,La Porte,46350.0
CC-12370,Christopher Conant,Consumer,United States,South,North Carolina,Fayetteville,28314.0
CC-12430,Chuck Clark,Home Office,United States,Central,Indiana,Columbus,47201.0
CC-12475,Cindy Chapman,Consumer,United States,East,New York,New York City,10024.0
CC-12550,Clay Cheatham,Consumer,United States,West,California,San Francisco,94122.0
CC-12610,Corey Catlett,Corporate,United States,East,Pennsylvania,Philadelphia,19134.0
CC-12670,Craig Carreira,Consumer,United States,East,New York,New York City,10009.0
CC-12685,Craig Carroll,Consumer,United States,South,North Carolina,Greensboro,27405.0
CD-11920,Carlos Daly,Consumer,United States,West,California,Lake Elsinore,92530.0
CD-11980,Carol Darley,Consumer,United States,Central,Texas,Tyler,75701.0
CD-12280,Christina DeMoss,Consumer,United States,West,Washington,Seattle,98105.0
CD-12790,Cynthia Delaney,Home Office,United States,West,California,San Diego,92037.0
CG-12040,Catherine Glotzbach,Home Office,United States,East,Pennsylvania,Philadelphia,19120.0
CG-12520,Claire Gute,Consumer,United States,South,Kentucky,Henderson,42420.0
CH-12070,Cathy Hwang,Home Office,United States,South,North Carolina,Raleigh,27604.0
CJ-11875,Carl Jackson,Corporate,United States,East,Pennsylvania,Philadelphia,19140.0
CJ-12010,Caroline Jumper,Consumer,United States,West,California,Huntington Beach,92646.0
CK-12205,Chloris Kastensmidt,Consumer,United States,East,Pennsylvania,Philadelphia,19120.0
CK-12325,Christine Kargatis,Home Office,United States,West,Utah,Orem,84057.0
CK-12595,Clytie Kelty,Consumer,United States,East,Ohio,Grove City,43123.0
CK-12760,Cyma Kinney,Corporate,United States,East,New Jersey,Linden,7036.0
CL-11890,Carl Ludwig,Consumer,United States,East,Massachusetts,Everett,2149.0
CL-12565,Clay Ludtke,Consumer,United States,Central,Iowa,Urbandale,50322.0
CL-12700,Craig Leslie,Home Office,United States,Central,Missouri,Springfield,65807.0
CM-11815,Candace McMahon,Corporate,United States,Central,Texas,Pasadena,77506.0
CM-11935,Carlos Meador,Consumer,United States,South,North Carolina,Fayetteville,28314.0
CM-12115,Chad McGuire,Consumer,United States,East,New York,New York City,10011.0
CM-12160,Charles McCrossin,Consumer,United States,Central,Texas,Brownsville,78521.0
CM-12190,Charlotte Melton,Consumer,United States,East,Pennsylvania,Philadelphia,19134.0
CM-12235,Chris McAfee,Consumer,United States,Central,Texas,Carrollton,75007.0
CM-12385,Christopher Martinez,Consumer,United States,South,Georgia,Atlanta,30318.0
CM-12445,Chuck Magee,Consumer,United States,West,California,San Francisco,94122.0
CM-12655,Corinna Mitchell,Home Office,United States,West,California,Los Angeles,90008.0
CM-12715,Craig Molinari,Corporate,United States,Central,Texas,Huntsville,77340.0
CP-12085,Cathy Prescott,Corporate,United States,East,Connecticut,Norwich,6360.0
CP-12340,Christine Phan,Corporate,United States,East,New York,New York City,10009.0
CR-12580,Clay Rozendal,Home Office,United States,Central,Illinois,Elmhurst,60126.0
CR-12625,Corey Roper,Home Office,United States,East,New Jersey,Lakewood,8701.0
CR-12730,Craig Reiter,Consumer,United States,East,Ohio,Columbus,43229.0
CR-12820,Cyra Reiten,Home Office,United States,East,New York,New York City,10035.0
CS-11845,Cari Sayre,Corporate,United States,West,Washington,Seattle,98105.0
CS-11860,Cari Schnelling,Consumer,United States,South,North Carolina,Jacksonville,28540.0
CS-11950,Carlos Soltero,Consumer,United States,Central,Illinois,Chicago,60610.0
CS-12130,Chad Sievert,Consumer,United States,West,California,Los Angeles,90004.0
CS-12175,Charles Sheldon,Corporate,United States,South,Tennessee,Columbia,38401.0
CS-12250,Chris Selesnick,Corporate,United States,South,Louisiana,Bossier City,71111.0
CS-12355,Christine Sundaresam,Consumer,United States,South,Georgia,Roswell,30076.0
CS-12400,Christopher Schild,Home Office,United States,Central,Illinois,Chicago,60623.0
CS-12460,Chuck Sachs,Consumer,United States,South,Georgia,Columbus,31907.0
CS-12490,Cindy Schnelling,Corporate,United States,Central,Texas,Conroe,77301.0
CS-12505,Cindy Stewart,Consumer,United States,South,North Carolina,Thomasville,27360.0
CT-11995,Carol Triggs,Consumer,United States,Central,Minnesota,Rochester,55901.0
CV-12295,Christina VanderZanden,Consumer,United States,West,California,Fresno,93727.0
CV-12805,Cynthia Voltz,Corporate,United States,East,New York,New York City,10035.0
CW-11905,Carl Weiss,Home Office,United States,Central,Texas,Huntsville,77340.0
CY-12745,Craig Yedwab,Corporate,United States,West,California,Oakland,94601.0
Co-12640,Corey-Lock,Consumer,United States,East,Pennsylvania,Philadelphia,19143.0
DA-13450,Dianna Arnett,Home Office,United States,Central,Texas,Houston,77095.0
DB-12910,Daniel Byrd,Home Office,United States,South,Florida,Tampa,33614.0
DB-12970,Darren Budd,Corporate,United States,West,California,Los Angeles,90004.0
DB-13060,Dave Brooks,Consumer,United States,West,Washington,Seattle,98115.0
DB-13120,David Bremer,Corporate,United States,West,California,Santa Clara,95051.0
DB-13210,Dean Braden,Consumer,United States,Central,Texas,Houston,77041.0
DB-13270,Deborah Brumfield,Home Office,United States,West,California,San Diego,92024.0
DB-13360,Dennis Bolton,Home Office,United States,East,New York,New York City,10009.0
DB-13405,Denny Blanton,Consumer,United States,Central,Indiana,La Porte,46350.0
DB-13555,Dorothy Badders,Corporate,United States,South,Florida,Jacksonville,32216.0
DB-13615,Doug Bickford,Consumer,United States,West,California,Los Angeles,90045.0
DB-13660,Duane Benoit,Consumer,United States,East,New York,Oceanside,11572.0
DC-12850,Dan Campbell,Consumer,United States,South,Alabama,Florence,35630.0
DC-13285,Debra Catini,Consumer,United States,Central,Minnesota,Cottage Grove,55016.0
DD-13570,Dorothy Dickinson,Consumer,United States,Central,Texas,Houston,77041.0
DE-13255,Deanra Eno,Home Office,United States,East,Ohio,Springfield,45503.0
DF-13135,David Flashing,Consumer,United States,West,California,Vallejo,94591.0
DG-13300,Deirdre Greer,Corporate,United States,East,Pennsylvania,Philadelphia,19134.0
DH-13075,Dave Hallsten,Corporate,United States,South,Kentucky,Richmond,40475.0
DH-13675,Duane Huffman,Home Office,United States,East,Massachusetts,Quincy,2169.0
DJ-13420,Denny Joy,Corporate,United States,South,Georgia,Warner Robins,31088.0
DJ-13510,Don Jones,Corporate,United States,South,Tennessee,Murfreesboro,37130.0
DJ-13630,Doug Jacobs,Consumer,United States,East,New York,New York City,10024.0
DK-12835,Damala Kotsonis,Corporate,United States,West,California,Salinas,93905.0
DK-12895,Dana Kaydos,Consumer,United States,Central,Wisconsin,Kenosha,53142.0
DK-12985,Darren Koutras,Consumer,United States,South,Kentucky,Henderson,42420.0
DK-13090,Dave Kipp,Consumer,United States,West,Washington,Seattle,98103.0
DK-13150,David Kendrick,Corporate,United States,Central,Illinois,Decatur,62521.0
DK-13225,Dean Katz,Corporate,United States,East,Pennsylvania,Philadelphia,19140.0
DK-13375,Dennis Kane,Consumer,United States,East,Ohio,Marion,43302.0
DL-12865,Dan Lawera,Consumer,United States,East,Ohio,Cincinnati,45231.0
DL-12925,Daniel Lacy,Consumer,United States,West,California,Oceanside,92054.0
DL-13315,Delfina Latchford,Consumer,United States,East,New York,New York City,10024.0
DL-13330,Denise Leinenbach,Consumer,United States,West,New Mexico,Las Cruces,88001.0
DL-13495,Dionis Lloyd,Corporate,United States,West,California,San Francisco,94110.0
DM-12955,Dario Medina,Corporate,United States,Central,Michigan,Lincoln Park,48146.0
DM-13015,Darrin Martin,Consumer,United States,West,California,Encinitas,92024.0
DM-13345,Denise Monton,Corporate,United States,South,Georgia,Roswell,30076.0
DM-13525,Don Miller,Corporate,United States,Central,Texas,Houston,77070.0
DN-13690,Duane Noonan,Consumer,United States,West,California,San Francisco,94122.0
DO-13435,Denny Ordway,Consumer,United States,South,Florida,Pembroke Pines,33024.0
DO-13645,Doug O'Connell,Consumer,United States,West,California,Los Angeles,90036.0
DP-13000,Darren Powers,Consumer,United States,Central,Indiana,New Albany,47150.0
DP-13105,Dave Poirier,Corporate,United States,West,California,Salinas,93905.0
DP-13165,David Philippe,Consumer,United States,East,New York,New York City,10035.0
DP-13390,Dennis Pardue,Home Office,United States,Central,Illinois,Peoria,61604.0
DR-12880,Dan Reichenbach,Corporate,United States,Central,Illinois,Chicago,60623.0
DR-12940,Daniel Raglin,Home Office,United States,East,Massachusetts,Franklin,2038.0
DS-13030,Darrin Sayre,Home Office,United States,West,Washington,Seattle,98115.0
DS-13180,David Smith,Corporate,United States,Central,Michigan,Detroit,48227.0
DV-13045,Darrin Van Huff,Corporate,United States,West,California,Los Angeles,90036.0
DV-13465,Dianna Vittorini,Consumer,United States,West,Colorado,Denver,80219.0
DW-13195,David Wiener,Corporate,United States,Central,Texas,Houston,77095.0
DW-13480,Dianna Wilson,Home Office,United States,Central,Minnesota,Lakeville,55044.0
DW-13540,Don Weiss,Consumer,United States,West,Washington,Seattle,98105.0
DW-13585,Dorothy Wardle,Corporate,United States,East,Ohio,Columbus,43229.0
Dl-13600,Dorris liebe,Corporate,United States,Central,Texas,Pasadena,77506.0
Dp-13240,Dean percer,Home Office,United States,West,Utah,Murray,84107.0
EA-14035,Erin Ashbrook,Corporate,United States,South,North Carolina,Charlotte,28205.0
EB-13705,Ed Braxton,Corporate,United States,East,Ohio,Akron,44312.0
EB-13750,Edward Becker,Corporate,United States,West,Washington,Seattle,98103.0
EB-13840,Ellis Ballard,Corporate,United States,West,Washington,Seattle,98105.0
EB-13870,Emily Burns,Consumer,United States,West,Utah,Orem,84057.0
EB-13930,Eric Barreto,Consumer,United States,West,California,San Francisco,94110.0
EB-13975,Erica Bern,Corporate,United States,West,California,Fairfield,94533.0
EB-14110,Eugene Barchas,Consumer,United States,East,Pennsylvania,Philadelphia,19134.0
EB-14170,Evan Bailliet,Consumer,United States,South,North Carolina,Wilmington,28403.0
EC-14050,Erin Creighton,Consumer,United States,East,New York,New York City,10024.0
ED-13885,Emily Ducich,Home Office,United States,West,California,San Diego,92037.0
EG-13900,Emily Grady,Consumer,United States,East,New York,Oceanside,11572.0
EH-13765,Edward Hooks,Corporate,United States,East,New York,Watertown,13601.0
EH-13945,Eric Hoffmann,Consumer,United States,West,California,Los Angeles,90049.0
EH-13990,Erica Hackney,Consumer,United States,South,Georgia,Roswell,30076.0
EH-14005,Erica Hernandez,Home Office,United States,West,Colorado,Denver,80219.0
EH-14125,Eugene Hildebrand,Home Office,United States,Central,Illinois,Aurora,60505.0
EH-14185,Evan Henry,Consumer,United States,South,Alabama,Decatur,35601.0
EJ-13720,Ed Jacobs,Consumer,United States,West,California,San Diego,92037.0
EJ-14155,Eva Jacobs,Consumer,United States,South,Mississippi,Gulfport,39503.0
EK-13795,Eileen Kiefer,Home Office,United States,West,California,Santa Ana,92704.0
EL-13735,Ed Ludwig,Home Office,United States,East,Maryland,Columbia,21044.0
EM-13810,Eleni McCrary,Corporate,United States,West,California,Los Angeles,90036.0
EM-13825,Elizabeth Moffitt,Corporate,United States,Central,South Dakota,Sioux Falls,57103.0
EM-13960,Eric Murdock,Consumer,United States,East,Pennsylvania,Philadelphia,19134.0
EM-14065,Erin Mull,Consumer,United States,East,New York,New York City,10024.0
EM-14095,Eudokia Martin,Corporate,United States,West,California,Los Angeles,90036.0
EM-14140,Eugene Moren,Home Office,United States,West,Arizona,Glendale,85301.0
EM-14200,Evan Minnotte,Home Office,United States,South,Virginia,Virginia Beach,23464.0
EN-13780,Edward Nazzal,Consumer,United States,East,New York,New York City,10035.0
EP-13915,Emily Phan,Consumer,United States,Central,Illinois,Chicago,60653.0
ER-13855,Elpida Rittenbach,Corporate,United States,Central,Minnesota,Saint Paul,55106.0
ES-14020,Erica Smith,Consumer,United States,West,California,San Francisco,94110.0
ES-14080,Erin Smith,Corporate,United States,South,Florida,Melbourne,32935.0
FA-14230,Frank Atkinson,Corporate,United States,West,California,Long Beach,90805.0
FC-14245,Frank Carlisle,Home Office,United States,East,Ohio,Lakewood,44107.0
FC-14335,Fred Chung,Corporate,United States,Central,Texas,Mesquite,75150.0
FG-14260,Frank Gastineau,Home Office,United States,West,California,San Francisco,94110.0
FH-14275,Frank Hawley,Corporate,United States,Central,Indiana,La Porte,46350.0
FH-14350,Fred Harton,Consumer,United States,West,Washington,Seattle,98105.0
FH-14365,Fred Hopkins,Corporate,United States,East,Pennsylvania,Philadelphia,19120.0
FM-14215,Filia McAdams,Corporate,United States,East,Ohio,Dublin,43017.0
FM-14290,Frank Merwin,Home Office,United States,West,California,Los Angeles,90032.0
FM-14380,Fred McMath,Consumer,United States,West,Colorado,Aurora,80013.0
FO-14305,Frank Olsen,Consumer,United States,East,New York,New York City,10035.0
FP-14320,Frank Preis,Consumer,United States,West,California,Los Angeles,90008.0
FW-14395,Fred Wasserman,Corporate,United States,South,Alabama,Huntsville,35810.0
GA-14515,George Ashbrook,Consumer,United States,West,California,San Francisco,94122.0
GA-14725,Guy Armstrong,Consumer,United States,East,Ohio,Lorain,44052.0
GB-14530,George Bell,Corporate,United States,East,New York,Auburn,13021.0
GB-14575,Giulietta Baptist,Consumer,United States,East,Pennsylvania,Philadelphia,19134.0
GD-14590,Giulietta Dortch,Corporate,United States,East,Pennsylvania,Philadelphia,19143.0
GG-14650,Greg Guthrie,Corporate,United States,South,Tennessee,Bristol,37620.0
GH-14410,Gary Hansen,Home Office,United States,West,Arizona,Glendale,85301.0
GH-14425,Gary Hwang,Consumer,United States,West,Arizona,Tucson,85705.0
GH-14485,Gene Hale,Corporate,United States,Central,Texas,Richardson,75080.0
GH-14665,Greg Hansen,Consumer,United States,Central,Texas,Round Rock,78664.0
GK-14620,Grace Kelly,Corporate,United States,West,California,Hesperia,92345.0
GM-14440,Gary McGarr,Consumer,United States,West,California,San Francisco,94122.0
GM-14455,Gary Mitchum,Home Office,United States,Central,Texas,Houston,77095.0
GM-14500,Gene McClure,Consumer,United States,East,Rhode Island,Providence,2908.0
GM-14680,Greg Matthias,Consumer,United States,West,Washington,Seattle,98105.0
GM-14695,Greg Maxwell,Corporate,United States,West,California,Los Angeles,90036.0
GP-14740,Guy Phonely,Corporate,United States,East,Pennsylvania,Lancaster,17602.0
GR-14560,Georgia Rosenberg,Corporate,United States,West,California,San Francisco,94110.0
GT-14635,Grant Thornton,Corporate,United States,South,North Carolina,Burlington,27217.0
GT-14710,Greg Tran,Consumer,United States,Central,Texas,Houston,77070.0
GT-14755,Guy Thornton,Consumer,United States,Central,Texas,Harlingen,78550.0
GW-14605,Giulietta Weimer,Consumer,United States,West,Washington,Seattle,98115.0
GZ-14470,Gary Zandusky,Consumer,United States,Central,Minnesota,Rochester,55901.0
GZ-14545,George Zrebassa,Corporate,United States,East,Massachusetts,Lawrence,1841.0
HA-14905,Helen Abelman,Consumer,United States,East,New York,New York City,10024.0
HA-14920,Helen Andreada,Consumer,United States,West,California,Pasadena,91104.0
HD-14785,Harold Dahlen,Home Office,United States,East,Pennsylvania,Philadelphia,19143.0
HE-14800,Harold Engle,Corporate,United States,Central,Illinois,Chicago,60623.0
HF-14995,Herbert Flentye,Consumer,United States,Central,Indiana,Indianapolis,46203.0
HG-14845,Harry Greene,Consumer,United States,South,Louisiana,Lake Charles,70601.0
HG-14965,Henry Goldwyn,Corporate,United States,West,California,Los Angeles,90032.0
HG-15025,Hunter Glantz,Consumer,United States,Central,Texas,Amarillo,79109.0
HH-15010,Hilary Holden,Corporate,United States,West,California,San Francisco,94110.0
HJ-14875,Heather Jas,Home Office,United States,South,Florida,Jacksonville,32216.0
HK-14890,Heather Kirkland,Corporate,United States,South,Tennessee,Franklin,37064.0
HL-15040,Hunter Lopez,Consumer,United States,Central,Texas,Houston,77095.0
HM-14860,Harry Marie,Corporate,United States,East,Pennsylvania,Philadelphia,19120.0
HM-14980,Henry MacAllister,Consumer,United States,East,New York,New York City,10009.0
HP-14815,Harold Pawlan,Home Office,United States,Central,Texas,Fort Worth,76106.0
HR-14770,Hallie Redmond,Home Office,United States,West,California,Los Angeles,90045.0
HR-14830,Harold Ryan,Corporate,United States,West,Washington,Seattle,98103.0
HW-14935,Helen Wasserman,Corporate,United States,West,California,San Diego,92105.0
HZ-14950,Henia Zydlo,Consumer,United States,East,Ohio,Columbus,43229.0
IG-15085,Ivan Gibson,Consumer,United States,West,California,San Diego,92024.0
IL-15100,Ivan Liston,Consumer,United States,West,California,San Francisco,94122.0
IM-15055,Ionia McGrath,Consumer,United States,West,California,Roseville,95661.0
IM-15070,Irene Maddox,Consumer,United States,West,Washington,Seattle,98103.0
JA-15970,Joseph Airdo,Consumer,United States,West,Arizona,Phoenix,85023.0
JB-15400,Jennifer Braxton,Corporate,United States,Central,Illinois,Chicago,60623.0
JB-15925,Joni Blumstein,Consumer,United States,East,Ohio,Dublin,43017.0
JB-16000,Joy Bell-,Consumer,United States,Central,Texas,Brownsville,78521.0
JB-16045,Julia Barnett,Home Office,United States,South,Georgia,Columbus,31907.0
JC-15340,Jasper Cacioppo,Consumer,United States,West,California,Los Angeles,90032.0
JC-15385,Jenna Caffey,Consumer,United States,West,Washington,Kent,98031.0
JC-15775,John Castell,Consumer,United States,Central,Texas,San Antonio,78207.0
JC-16105,Julie Creighton,Corporate,United States,South,North Carolina,Durham,27707.0
JD-15790,John Dryer,Consumer,United States,Central,Texas,Coppell,75019.0
JD-15895,Jonathan Doherty,Corporate,United States,East,Pennsylvania,Philadelphia,19140.0
JD-16015,Joy Daniels,Consumer,United States,Central,Illinois,Chicago,60610.0
